,RAPE,LARCENY,BURGLARY,LARCENY FROM AUTO,AGG. ASSAULT,COMMON ASSAULT,AUTO THEFT,ROBBERY - STREET,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,HOMICIDE,SHOOTING,ROBBERY - CARJACKING,ARSON
2014-05-20,1.0,50,24,19,16,23,9,3,2,2,0.0,0,1.0,1.0
2014-05-21,1.0,25,16,18,20,18,10,9,5,2,2.0,4,1.0,0.0
2014-05-22,0.0,30,27,32,19,25,7,13,2,0,1.0,4,0.0,0.0
2014-05-23,0.0,43,25,16,16,25,6,7,1,0,1.0,2,0.0,2.0
2014-05-24,2.0,32,10,20,18,17,10,10,1,1,1.0,0,0.0,1.0
2014-05-25,2.0,27,18,21,15,21,16,4,3,0,0.0,0,0.0,1.0
2014-05-26,3.0,18,12,18,20,30,11,3,2,1,1.0,2,0.0,1.0
2014-05-27,3.0,33,20,18,20,24,8,8,1,1,2.0,0,0.0,4.0
2014-05-28,0.0,35,17,17,9,18,8,13,6,0,0.0,3,2.0,0.0
2014-05-29,0.0,34,22,12,8,18,6,5,4,2,0.0,1,1.0,1.0
2014-05-30,1.0,34,23,12,13,19,14,7,1,0,0.0,1,0.0,0.0
2014-05-31,1.0,25,14,26,14,18,10,10,3,0,2.0,0,0.0,2.0
2014-06-01,3.0,32,11,22,12,13,10,6,2,2,2.0,0,0.0,1.0
2014-06-02,0.0,37,21,14,13,29,9,13,1,4,1.0,4,0.0,0.0
2014-06-03,0.0,24,26,15,11,23,8,8,2,0,2.0,0,0.0,1.0
2014-06-04,1.0,49,21,12,7,23,14,11,2,0,0.0,0,1.0,1.0
2014-06-05,0.0,32,15,17,12,27,8,6,0,2,0.0,0,2.0,0.0
2014-06-06,1.0,37,19,18,10,29,10,3,2,2,1.0,1,0.0,0.0
2014-06-07,1.0,33,12,22,9,31,5,3,2,0,1.0,0,0.0,0.0
2014-06-08,1.0,35,19,10,19,19,12,8,3,5,2.0,2,0.0,1.0
2014-06-09,0.0,39,20,26,11,29,9,9,1,2,0.0,1,1.0,0.0
2014-06-10,0.0,32,19,10,13,21,7,5,3,0,0.0,1,1.0,0.0
2014-06-11,2.0,34,20,15,8,23,13,8,0,0,0.0,0,1.0,1.0
2014-06-12,0.0,29,29,10,15,24,11,8,0,0,0.0,1,0.0,1.0
2014-06-13,1.0,33,18,19,13,17,4,8,2,1,0.0,0,0.0,0.0
2014-06-14,1.0,41,18,16,19,24,12,8,2,0,1.0,0,2.0,2.0
2014-06-15,0.0,32,13,30,16,32,12,10,0,0,0.0,4,0.0,0.0
2014-06-16,1.0,44,17,31,13,22,11,6,0,0,1.0,2,0.0,1.0
2014-06-17,0.0,32,17,19,10,23,12,8,0,0,0.0,1,0.0,1.0
2014-06-18,0.0,36,14,23,9,18,16,4,2,4,0.0,0,1.0,0.0
2014-06-19,0.0,26,34,20,7,17,12,11,4,1,0.0,2,0.0,0.0
2014-06-20,1.0,46,24,21,5,21,12,17,3,0,0.0,0,1.0,0.0
2014-06-21,1.0,29,17,30,9,18,12,7,4,1,2.0,0,0.0,0.0
2014-06-22,0.0,24,14,13,7,27,11,4,1,0,0.0,1,0.0,0.0
2014-06-23,1.0,33,26,27,20,21,6,2,1,0,0.0,1,0.0,2.0
2014-06-24,1.0,29,16,36,19,25,17,7,6,2,0.0,3,0.0,0.0
2014-06-25,1.0,37,18,24,10,14,15,4,1,1,0.0,2,0.0,0.0
2014-06-26,1.0,29,24,19,5,20,18,6,0,3,1.0,1,0.0,0.0
2014-06-27,1.0,36,27,25,7,22,8,11,1,2,0.0,0,1.0,1.0
2014-06-28,0.0,40,23,23,14,27,15,8,5,4,0.0,0,0.0,0.0
2014-06-29,0.0,24,12,33,15,12,12,7,0,0,3.0,1,1.0,1.0
2014-06-30,0.0,30,16,24,7,14,8,8,2,4,0.0,3,0.0,0.0
2014-07-01,1.0,31,31,18,27,21,12,3,2,2,1.0,2,1.0,0.0
2014-07-02,2.0,22,19,18,11,22,11,10,0,1,0.0,2,0.0,0.0
2014-07-03,0.0,34,33,17,8,12,9,2,1,0,0.0,1,1.0,2.0
2014-07-04,1.0,19,16,16,10,23,9,9,1,4,2.0,0,0.0,1.0
2014-07-05,0.0,34,17,18,16,21,1,8,1,3,3.0,4,0.0,0.0
2014-07-06,3.0,31,17,27,7,25,17,5,3,2,0.0,1,0.0,2.0
2014-07-07,0.0,32,24,24,10,21,13,8,1,0,0.0,1,1.0,1.0
2014-07-08,0.0,35,14,27,11,10,13,9,1,0,1.0,1,0.0,0.0
2014-07-09,1.0,39,22,25,9,18,16,9,1,1,0.0,0,1.0,0.0
2014-07-10,1.0,32,21,22,10,29,12,1,4,0,0.0,0,1.0,2.0
2014-07-11,0.0,31,23,22,16,18,16,8,0,1,0.0,1,0.0,1.0
2014-07-12,1.0,40,18,16,12,21,10,9,2,0,0.0,1,0.0,0.0
2014-07-13,1.0,26,13,29,13,22,16,5,0,3,0.0,0,0.0,0.0
2014-07-14,0.0,29,29,27,8,24,10,7,1,1,0.0,2,0.0,0.0
2014-07-15,1.0,27,26,22,11,14,18,7,3,1,1.0,1,0.0,0.0
2014-07-16,0.0,35,24,31,6,17,14,8,1,1,4.0,0,0.0,0.0
2014-07-17,1.0,31,17,25,13,19,16,1,1,1,3.0,1,0.0,0.0
2014-07-18,0.0,40,18,19,18,19,9,0,1,3,0.0,2,0.0,1.0
2014-07-19,0.0,25,16,18,13,36,10,8,0,1,0.0,0,0.0,0.0
2014-07-20,0.0,44,15,30,15,20,10,12,1,2,1.0,0,0.0,3.0
2014-07-21,1.0,46,24,16,18,17,10,8,2,0,0.0,1,0.0,2.0
2014-07-22,0.0,37,23,12,16,19,15,5,2,2,0.0,1,0.0,0.0
2014-07-23,0.0,28,16,32,10,22,14,2,1,0,1.0,4,1.0,0.0
2014-07-24,0.0,38,29,25,12,20,9,6,3,0,0.0,1,0.0,2.0
2014-07-25,1.0,40,27,27,10,13,16,13,2,0,0.0,4,0.0,0.0
2014-07-26,0.0,30,21,33,11,19,9,5,1,3,1.0,1,0.0,2.0
2014-07-27,1.0,36,15,28,15,26,5,11,2,7,0.0,4,1.0,0.0
2014-07-28,0.0,29,15,21,9,12,6,5,2,0,0.0,1,0.0,1.0
2014-07-29,0.0,43,18,18,17,17,14,6,0,2,0.0,3,0.0,0.0
2014-07-30,0.0,47,18,20,14,14,8,6,1,1,1.0,5,0.0,1.0
2014-07-31,0.0,27,16,29,13,22,10,5,0,1,2.0,4,0.0,2.0
2014-08-01,2.0,55,27,17,23,20,14,7,3,3,2.0,6,0.0,2.0
2014-08-02,0.0,27,13,23,17,18,6,4,1,1,0.0,0,1.0,0.0
2014-08-03,0.0,32,16,19,15,22,15,4,1,2,1.0,3,0.0,0.0
2014-08-04,1.0,38,22,18,11,18,6,6,3,1,0.0,1,0.0,1.0
2014-08-05,1.0,34,15,18,6,17,9,10,2,0,1.0,1,0.0,1.0
2014-08-06,2.0,36,16,30,10,23,10,8,3,4,0.0,0,0.0,1.0
2014-08-07,2.0,33,16,26,14,19,8,6,4,2,1.0,1,1.0,0.0
2014-08-08,1.0,50,19,18,12,24,10,7,2,0,0.0,4,1.0,0.0
2014-08-09,1.0,20,17,15,9,20,15,2,0,1,3.0,1,0.0,0.0
2014-08-10,1.0,29,20,34,16,24,14,8,3,4,1.0,0,2.0,1.0
2014-08-11,0.0,50,25,23,19,17,11,9,0,4,3.0,3,0.0,2.0
2014-08-12,1.0,19,14,15,6,11,11,5,2,2,0.0,1,0.0,0.0
2014-08-13,0.0,28,21,22,11,21,7,8,2,1,0.0,2,0.0,0.0
2014-08-14,0.0,44,24,33,10,12,11,4,3,2,0.0,1,0.0,1.0
2014-08-15,1.0,41,32,28,4,27,12,10,3,3,1.0,0,0.0,0.0
2014-08-16,0.0,30,12,14,12,24,9,5,2,0,1.0,0,0.0,1.0
2014-08-17,3.0,30,12,15,14,15,10,11,0,2,0.0,1,2.0,1.0
2014-08-18,3.0,39,23,19,10,15,8,18,1,2,0.0,3,1.0,0.0
2014-08-19,0.0,36,23,27,12,9,19,7,4,1,0.0,1,0.0,0.0
2014-08-20,0.0,43,13,26,13,17,12,9,1,0,2.0,0,0.0,0.0
2014-08-21,0.0,24,16,21,10,15,13,5,0,2,1.0,1,1.0,1.0
2014-08-22,0.0,27,14,31,5,16,7,15,3,2,2.0,2,0.0,0.0
2014-08-23,0.0,29,29,13,14,19,8,13,2,0,0.0,3,1.0,0.0
2014-08-24,1.0,23,10,21,13,11,10,5,1,2,3.0,1,0.0,2.0
2014-08-25,0.0,34,19,22,15,31,11,14,5,1,0.0,0,2.0,0.0
2014-08-26,1.0,37,19,15,8,19,10,14,1,1,1.0,2,0.0,3.0
2014-08-27,0.0,37,21,16,14,13,9,13,1,2,1.0,3,2.0,2.0
2014-08-28,1.0,28,20,16,12,21,10,6,1,0,0.0,1,2.0,1.0
2014-08-29,1.0,53,20,17,11,25,6,11,1,1,1.0,0,0.0,1.0
2014-08-30,0.0,25,18,18,10,18,10,8,3,2,0.0,0,0.0,0.0
2014-08-31,0.0,26,9,23,22,27,11,5,2,0,1.0,5,1.0,0.0
2014-09-01,2.0,32,27,23,20,41,7,14,1,0,2.0,1,1.0,0.0
2014-09-02,0.0,41,14,25,17,26,8,11,0,5,1.0,1,1.0,0.0
2014-09-03,1.0,26,17,15,12,17,10,12,0,0,2.0,1,2.0,0.0
2014-09-04,3.0,36,21,18,10,24,11,11,1,2,0.0,1,2.0,0.0
2014-09-05,0.0,39,24,22,18,24,10,6,2,0,0.0,0,0.0,0.0
2014-09-06,1.0,33,19,28,13,20,12,10,1,1,1.0,3,0.0,0.0
2014-09-07,0.0,29,17,21,13,31,8,4,4,0,0.0,0,0.0,0.0
2014-09-08,0.0,34,20,17,7,15,11,9,2,3,0.0,0,0.0,2.0
2014-09-09,0.0,34,22,14,12,21,8,2,4,0,0.0,1,1.0,1.0
2014-09-10,0.0,42,17,24,15,21,9,5,4,2,0.0,2,0.0,0.0
2014-09-11,2.0,40,20,23,6,16,14,8,2,0,1.0,1,0.0,0.0
2014-09-12,0.0,47,26,14,24,15,7,10,0,0,0.0,2,0.0,1.0
2014-09-13,0.0,32,14,18,8,19,3,5,2,1,0.0,2,0.0,1.0
2014-09-14,2.0,28,16,13,5,31,12,4,0,1,0.0,1,1.0,1.0
2014-09-15,0.0,41,27,15,10,12,4,6,4,0,0.0,1,0.0,1.0
2014-09-16,0.0,38,18,12,11,17,12,6,4,2,0.0,1,1.0,0.0
2014-09-17,0.0,42,17,18,9,25,9,8,0,0,0.0,0,0.0,0.0
